Student ID,Date Completed,Total Number of Questions,Question #1,Response,Question #2,Response,Question #3,Response,Question #4,Response,Question #5,Response,Question #6,Response,Question #7,Response,Question #8,Response,Question #9,Response
NH0000011,"June 09, 2020 17:34",8,How old are you?,34,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000012,"June 15, 2020 0:51",8,How old are you?,38,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,"Other, Other, Other",Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000013,"June 13, 2020 18:54",8,How old are you?,52,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000014,"June 12, 2020 18:22",8,How old are you?,34,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000015,"June 14, 2020 7:15",8,How old are you?,38 Year,What is your gender?,Male ,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Hypertension,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000016,"June 09, 2020 9:13",8,How old are you?,27years,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000017,"June 09, 2020 7:14",8,How old are you?,30,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000018,"June 24, 2020 16:28",9,How old are you?,23,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:","N,A

",What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000019,"June 10, 2020 10:43",8,How old are you?,50 years ok,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000020,"June 10, 2020 3:54",8,How old are you?,49,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000021,"June 10, 2020 6:10",8,How old are you?,"27 Yr

",What is your gender?,Male ,What organization are you from?,Peepul,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000022,"June 09, 2020 6:52",8,How old are you?,42,What is your gender?,Female,What organization are you from?,Peepul,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000023,"June 09, 2020 7:02",8,How old are you?,26,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000024,"June 11, 2020 5:33",8,How old are you?,29,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000025,"June 10, 2020 7:51",8,How old are you?,50yrs,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000026,"June 24, 2020 10:24",9,How old are you?,56,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:","Save the childern
",What is the highest level of education?,No education,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000027,"June 15, 2020 2:36",8,How old are you?,23,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Other,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000028,"June 09, 2020 7:58",8,How old are you?,25 years,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Other,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000029,"June 10, 2020 6:15",8,How old are you?,29,What is your gender?,Female,What organization are you from?,Kaleidofin,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000030,"June 10, 2020 9:31",8,How old are you?,33,What is your gender?,Male ,What organization are you from?,Kaleidofin,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000031,"June 10, 2020 10:21",8,How old are you?,30,What is your gender?,Male ,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000032,"June 10, 2020 6:29",8,How old are you?,I am 24 years old,What is your gender?,Male ,What organization are you from?,Kaleidofin,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000033,"June 10, 2020 7:59",8,How old are you?,29,What is your gender?,Male ,What organization are you from?,Kaleidofin,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000034,"June 10, 2020 5:59",8,How old are you?,32,What is your gender?,Male ,What organization are you from?,Kaleidofin,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000035,"June 10, 2020 14:04",8,How old are you?,35,What is your gender?,Female,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000036,"June 09, 2020 10:44",8,How old are you?,26,What is your gender?,Male ,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000037,"June 09, 2020 11:45",8,How old are you?,28,What is your gender?,Male ,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Cancer,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000038,"June 09, 2020 10:38",8,How old are you?,32,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Lung diseases,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000039,"June 09, 2020 20:10",8,How old are you?,33,What is your gender?,Female,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Hypertension,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000040,"June 26, 2020 8:33",9,How old are you?,40,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",no,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,"Diabetes, Other",Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000041,"June 09, 2020 7:53",8,How old are you?,40,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000042,"June 09, 2020 7:23",8,How old are you?,31,What is your gender?,Female,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000043,"June 09, 2020 7:18",8,How old are you?,30,What is your gender?,Female,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Lung diseases,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000044,"June 10, 2020 6:55",8,How old are you?,23,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000045,"June 18, 2020 17:33",8,How old are you?,50 years,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,"Diabetes, Hypertension, Cardiovascular disease, Kidney illness",Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000046,"June 09, 2020 11:55",8,How old are you?,27,What is your gender?,Male ,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000047,"June 19, 2020 13:25",9,How old are you?,50,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",deepalaya,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,"Diabetes, Hypertension, Cardiovascular disease, Kidney illness, Lung diseases",Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000048,"June 11, 2020 7:35",8,How old are you?,27,What is your gender?,Female,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000049,"June 09, 2020 9:52",8,How old are you?,25 years,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000050,"June 09, 2020 7:03",8,How old are you?,50,What is your gender?,Female,What organization are you from?,Simple Education Foundation,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000051,"June 10, 2020 5:08",8,How old are you?,25 years,What is your gender?,Male ,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,PUC/12th grade completed,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000052,"June 14, 2020 17:24",8,How old are you?,30,What is your gender?,Male ,What organization are you from?,"Dream a Dream, Dream a Dream","If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000053,"June 10, 2020 6:50",8,How old are you?,25,What is your gender?,Male ,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000054,"June 09, 2020 7:43",8,How old are you?,37,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000055,"June 10, 2020 4:23",8,How old are you?,54 years,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000056,"June 09, 2020 12:08",8,How old are you?,25,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Primary education (til 5th grade),Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000057,"June 09, 2020 8:01",8,How old are you?,23,What is your gender?,Male ,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000058,"June 10, 2020 13:49",8,How old are you?,"58+years

",What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000059,"June 09, 2020 11:34",8,How old are you?,24,What is your gender?,Female,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Other,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000060,"June 09, 2020 8:09",8,How old are you?,25,What is your gender?,Female,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000061,"June 10, 2020 5:58",8,How old are you?,28,What is your gender?,Female,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000062,"June 10, 2020 6:26",8,How old are you?,26,What is your gender?,Male ,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000063,"June 10, 2020 6:28",8,How old are you?,29,What is your gender?,Male ,What organization are you from?,Kaleidofin,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000064,"June 10, 2020 8:08",8,How old are you?,31,What is your gender?,Male ,What organization are you from?,Kaleidofin,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000065,"June 10, 2020 8:14",8,How old are you?,30,What is your gender?,Male ,What organization are you from?,Kaleidofin,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000066,"June 10, 2020 9:15",8,How old are you?,34,What is your gender?,Male ,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000067,"June 10, 2020 9:44",8,How old are you?,30,What is your gender?,Male ,What organization are you from?,Dream a Dream,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,secondary (10th grade),Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000068,"June 10, 2020 10:05",8,How old are you?,34,What is your gender?,Male ,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000069,"June 10, 2020 12:07",8,How old are you?,30,What is your gender?,Male ,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000070,"June 10, 2020 15:27",8,How old are you?,58,What is your gender?,Male ,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000071,"June 14, 2020 6:38",8,How old are you?,32,What is your gender?,Male ,What organization are you from?,Deepalaya,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,Lung diseases,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000072,"June 19, 2020 4:11",8,How old are you?,39 yrs.,What is your gender?,Female,What organization are you from?,Protsahan,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000073,"June 24, 2020 16:10",9,How old are you?,38,What is your gender?,Female,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",NooraHealth,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000074,"June 21, 2020 13:19",9,How old are you?,38,What is your gender?,Male ,What organization are you from?,Protsahan,"If you answered the previous question with ""Other"", please write the name of your organization below:",NA,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,"Hypertension, Cardiovascular disease",Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000075,"June 21, 2020 13:19",9,How old are you?,34,What is your gender?,Female,What organization are you from?,Protsahan,"If you answered the previous question with ""Other"", please write the name of your organization below:",N/A,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,"Diabetes, Hypertension, Cardiovascular disease",Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
